Identifiant;Gestionnaire;Ville;Rue;Numéro;Complément d'information;Coordonnées;Geo Shape;Code rue (lisrue);Identifiant d'adresse (ICAR / BeStaddress);Date de création;Date de dernière modification;Étage;Code postal;Identifiant de la rue (ICAR / BeStaddress)
14881;SIPPT;Liège;Féronstrée;136;3eme étage -  - 3eme étage;50.647163839, 5.5828979214;"{""coordinates"": [5.5828979214, 50.647163839], ""type"": ""Point""}";5001;1874089;2023-07-12;2023-07-12;3eme étage;4000;7729833
14880;SIPPT;Liège;rue de la Tonne;80;Parc Auto -  -  Parc Auto;50.6613274254, 5.548351945;"{""coordinates"": [5.548351945, 50.6613274254], ""type"": ""Point""}";8355;1215877;2021-10-20;2021-10-20;Parc Auto;4000;7730418
4369;SIPPT;Liège;rue Nicolas Spiroux;55;Buvette de tennis -  - Buvette de tennis;50.6281365209, 5.6127852242;"{""coordinates"": [5.6127852242, 50.6281365209], ""type"": ""Point""}";7623;1198730;2021-10-20;2021-10-20;Buvette de tennis;4030;7731218
9752;SIPPT;Liège;quai de Wallonie;3;Salle de gymnastique -  - Salle de gymnastique;50.6520527975, 5.6079546729;"{""coordinates"": [5.6079546729, 50.6520527975], ""type"": ""Point""}";5039;1110215;2021-10-20;2021-10-20;Salle de gymnastique;4000;7730119
1921;SIPPT;Liège;parc de la Boverie;3;Musée de la Boverie -  - Musée de la Boverie;50.6273674863, 5.5774888383;"{""coordinates"": [5.5774888383, 50.6273674863], ""type"": ""Point""}";7017;1873055;2021-10-20;2021-10-20;Musée de la Boverie;4020;7729938
9752;SIPPT;Liège;rue de l'Ourthe;1;Salle de gymnastique -  - Salle de gymnastique;50.6388529373, 5.5827429011;"{""coordinates"": [5.5827429011, 50.6388529373], ""type"": ""Point""}";6049;1114794;2023-07-12;2023-07-12;Salle de gymnastique;4020;7730476
4283;SIPPT;Liège;rue Bodson;100A;A l'entrée du stand -  - A l'entrée du stand;50.6318869707, 5.6210032397;"{""coordinates"": [5.6210032397, 50.6318869707], ""type"": ""Point""}";7604;1964631;2023-07-12;2023-07-12;A l'entrée du stand;4030;7730214
14866;SIPPT;Liège;rue Hazinelle;2;7ème étage -  - 7ème étage;50.6398413726, 5.5699330873;"{""coordinates"": [5.5699330873, 50.6398413726], ""type"": ""Point""}";2039;1223117;2023-07-12;2023-07-12;7ème étage;4000;7731023
14865;SIPPT;Liège;rue Hazinelle;2;6ème étage -  - 6ème étage;50.6398413726, 5.5699330873;"{""coordinates"": [5.5699330873, 50.6398413726], ""type"": ""Point""}";2039;1223117;2023-07-12;2023-07-12;6ème étage;4000;7731023
9753;SIPPT;Liège;avenue Joseph Merlot;107;Division MEP-Plantations -  - Division MEP-Plantations;50.637995229, 5.6053343814;"{""coordinates"": [5.6053343814, 50.637995229], ""type"": ""Point""}";6322;1873848;2021-10-20;2021-10-20;Division MEP-Plantations;4020;7729655
